ID,INV,DATE,CATALOG,PCODE,QTY,custnum
77,100376.0,4/00/24 00:00:00,Pets,PT2100,1.0,1310
78,142332.0,12/00/19 00:00:00,Toys,TY1100,2.0,1311
79,142332.0,12/00/19 00:00:00,Toys,TY3200,2.0,1312
80,142332.0,12/00/19 00:00:00,Toys,TY4200,1.0,1313
81,142332.0,12/00/19 00:00:00,Toys,TY5300,1.0,1314
82,99643.0,1/97/9 00:00:00,Gardening,GD3400,3.0,1315
83,106468.0,2/97/27 00:00:00,Collectibles,CC1200,1.0,1316
84,137742.0,8/97/18 00:00:00,Sports,SP3400,1.0,1317
85,155256.0,11/97/19 00:00:00,Pets,PT2200,3.0,1318
86,159666.0,12/97/12 00:00:00,Toys,TY3800,1.0,1319
87,163044.0,12/97/30 00:00:00,Pets,PT3200,2.0,132
88,184049.0,4/98/21 00:00:00,Pets,PT2000,1.0,1320
89,230510.0,11/98/6 00:00:00,Gardening,GD1400,1.0,1321
90,234466.0,11/98/23 00:00:00,Sports,SP1200,1.0,1322
91,234466.0,11/98/23 00:00:00,Sports,SP2000,1.0,1323
92,234466.0,11/98/23 00:00:00,Sports,SP2300,1.0,1324
93,234466.0,11/98/23 00:00:00,Sports,SP2700,2.0,1325
94,239179.0,12/98/13 00:00:00,Pets,PT2300,2.0,1326
95,155256.0,2/01/26 00:00:00,Pets,PT2200,3.0,1327
96,159666.0,3/01/21 00:00:00,Toys,TY3800,1.0,1328
97,163044.0,4/01/8 00:00:00,Pets,PT3200,2.0,1329
98,106313.0,2/97/26 00:00:00,Sports,SP3100,1.0,133
99,108795.0,3/97/14 00:00:00,Software,SW2123,1.0,1330
100,135315.0,8/97/5 00:00:00,Collectibles,CC2200,1.0,1331
101,153919.0,11/97/12 00:00:00,Pets,PT4300,1.0,1332
102,165820.0,1/98/17 00:00:00,Sports,SP1500,1.0,1333
103,168450.0,2/98/2 00:00:00,Pets,PT2400,1.0,1334
104,175728.0,3/98/13 00:00:00,Sports,SP1300,4.0,1335
105,243349.0,3/98/28 00:00:00,Pets,PT3100,1.0,1336
106,184269.0,4/98/22 00:00:00,Gardening,GD1100,1.0,1337
107,191908.0,5/98/26 00:00:00,Software,SW5338,1.0,1338
108,195651.0,6/98/11 00:00:00,Gardening,GD1001,1.0,1339
109,207342.0,7/98/31 00:00:00,Toys,TY1900,2.0,134
110,207342.0,7/98/31 00:00:00,Toys,TY3100,1.0,1340
111,207342.0,7/98/31 00:00:00,Toys,TY3500,2.0,1341
112,217071.0,9/98/10 00:00:00,Collectibles,CC2400,4.0,1342
113,237054.0,12/98/4 00:00:00,Pets,PT4300,4.0,1343
114,106313.0,6/00/5 00:00:00,Sports,SP3100,1.0,1344
115,108795.0,6/00/21 00:00:00,Software,SW2123,1.0,1345
116,135315.0,11/00/12 00:00:00,Collectibles,CC2200,1.0,1346
117,153919.0,2/01/19 00:00:00,Pets,PT4300,1.0,1347
118,165820.0,4/01/26 00:00:00,Sports,SP1500,1.0,1348
119,168450.0,5/01/12 00:00:00,Pets,PT2400,1.0,1349
120,124051.0,6/97/7 00:00:00,Pets,PT1400,1.0,135
121,124051.0,6/97/7 00:00:00,Pets,PT2200,1.0,1350
122,124051.0,6/97/7 00:00:00,Pets,PT3100,1.0,1351
123,124814.0,6/97/11 00:00:00,Software,SW3895,3.0,1352
124,139856.0,8/97/29 00:00:00,,TY4400,1.0,1353
125,183082.0,4/98/17 00:00:00,Sports,SP2700,1.0,1354
126,196370.0,6/98/14 00:00:00,Gardening,GD1500,1.0,1355
127,206396.0,7/98/27 00:00:00,Sports,SP2400,1.0,1356
128,220145.0,9/98/23 00:00:00,Pets,PT1200,1.0,1357
129,223035.0,10/98/5 00:00:00,Sports,SP2500,1.0,1358
130,229811.0,11/98/3 00:00:00,Pets,PT4200,1.0,1359
131,233331.0,11/98/18 00:00:00,Toys,TY1100,1.0,136
132,124051.0,9/00/14 00:00:00,Pets,PT1400,1.0,1360
133,124051.0,9/00/14 00:00:00,Pets,PT2200,1.0,1361
134,124051.0,9/00/14 00:00:00,Pets,PT3100,1.0,1362
135,124814.0,9/00/18 00:00:00,Software,SW3895,3.0,1363
136,139856.0,12/00/6 00:00:00,Toys,TY4400,1.0,1364
137,139658.0,8/97/28 00:00:00,Toys,TY1700,4.0,1365
138,173209.0,2/98/28 00:00:00,Sports,SP3400,1.0,1366
139,175132.0,3/98/10 00:00:00,Pets,PT3500,1.0,1367
140,189145.0,5/98/14 00:00:00,Gardening,GD1400,1.0,1368
141,194930.0,6/98/8 00:00:00,Toys,TY1750,1.0,1369
142,194930.0,6/98/8 00:00:00,Toys,TY1750,2.0,137
143,194930.0,6/98/8 00:00:00,Toys,TY3800,1.0,1370
144,194930.0,6/98/8 00:00:00,Toys,TY4100,2.0,1371
145,195397.0,6/98/10 00:00:00,Sports,SP2000,1.0,1372
146,195397.0,6/98/10 00:00:00,Sports,SP2000,4.0,1373
147,195397.0,6/98/10 00:00:00,Sports,SP2400,3.0,1374
148,202947.0,7/98/12 00:00:00,Pets,PT3100,1.0,1375
149,203167.0,7/98/13 00:00:00,Sports,SP3400,4.0,1376
150,234924.0,11/98/25 00:00:00,Software,SW8376,1.0,1377
151,139658.0,12/00/5 00:00:00,Toys,TY17OO,4.0,1378
152,121082.0,5/97/22 00:00:00,Sports,SP2400,1.0,1379
153,132255.0,7/97/20 00:00:00,Pets,PT3100,1.0,138
154,140829.0,9/97/3 00:00:00,Software,SW2123,1.0,1380
155,173210.0,2/98/28 00:00:00,Sports,SP2700,4.0,1381
156,192165.0,5/98/27 00:00:00,Software,SW7585,1.0,1382
157,197088.0,6/98/17 00:00:00,Gardening,GD2100,2.0,1383
158,207785.0,8/98/2 00:00:00,Sports,SP2400,1.0,1384
159,237791.0,12/98/7 00:00:00,Pets,PT1000,1.0,1385
160,237791.0,12/98/7 00:00:00,Pets,PT2400,1.0,1386
161,237791.0,12/98/7 00:00:00,Pets,PT3200,1.0,1387
162,237791.0,12/98/7 00:00:00,Pets,PT4200,1.0,1388
163,238016.0,12/98/8 00:00:00,Pets,PT2400,1.0,1389
164,238016.0,12/98/8 00:00:00,Pets,pt3500,1.0,139
165,238016.0,12/98/8 00:00:00,Pets,PT4300,3.0,1390
166,140829.0,12/00/11 00:00:00,Software,SW2123,1.0,1391
167,136667.0,8/97/12 00:00:00,Toys,TY2400,1.0,1392
168,136667.0,8/97/12 00:00:00,Toys,TY3700,1.0,1393
169,136667.0,8/97/12 00:00:00,Toys,TY4600,1.0,1394
170,136667.0,8/97/12 00:00:00,Toys,TY5100,4.0,1395
171,139067.0,8/97/25 00:00:00,Toys,TY5400,3.0,1396
172,141782.0,9/97/8 00:00:00,Collectibles,CC3400,2.0,1397
173,145415.0,9/97/27 00:00:00,Pets,PT2100,1.0,1398
174,146158.0,10/97/1 00:00:00,Pets,PT4500,1.0,1399
175,158712.0,12/97/7 00:00:00,Sports,SP2600,1.0,14
176,159270.0,12/97/10 00:00:00,Toys,TY5300,1.0,140
177,163238.0,12/97/31 00:00:00,Collectibles,CC4300,3.0,1400
178,172258.0,2/98/23 00:00:00,Toys,TY1600,1.0,1401
179,185573.0,4/98/28 00:00:00,Collectibles,CC3400,1.0,1402
180,186021.0,4/98/30 00:00:00,Toys,TY1300,1.0,1403
181,186021.0,4/98/30 00:00:00,Toys,TY1500,1.0,1404
182,186021.0,4/98/30 00:00:00,Toys,TY3500,1.0,1405
183,217533.0,9/98/12 00:00:00,Toys,TY4200,1.0,1406
184,220388.0,9/98/24 00:00:00,Software,SW1207,1.0,1407
185,234048.0,11/98/21 00:00:00,Sports,SP1600,1.0,1408
186,136667.0,11/00/19 00:00:00,Toys,TY2400,1.0,1409
187,136667.0,11/00/19 00:00:00,Toys,TY3700,1.0,141
188,136667.0,11/00/19 00:00:00,Toys,TY4600,1.0,1410
189,136667.0,11/00/19 00:00:00,Toys,TY5100,4.0,1411
190,139067.0,12/00/2 00:00:00,Toys,TY5400,3.0,1412
191,141782.0,12/00/16 00:00:00,Collectibles,CC3400,2.0,1413
192,145415.0,1/01/4 00:00:00,Pets,PT2100,1.0,1414
193,146158.0,1/01/8 00:00:00,Pets,PT4500,1.0,1415
194,158712.0,3/01/16 00:00:00,Sports,SP2600,1.0,1416
195,159270.0,3/01/19 00:00:00,Toys,TY5300,1.0,1417
196,163238.0,4/01/9 00:00:00,Collectibles,CC4300,3.0,1418
197,99756.0,1/97/10 00:00:00,Pets,PT1100,3.0,1419
198,99756.0,1/97/10 00:00:00,Pets,PT3100,1.0,142
199,99756.0,1/97/10 00:00:00,Pets,PT3500,3.0,1420
200,130740.0,7/97/12 00:00:00,Software,SW1828,1.0,1421
201,134932.0,8/97/3 00:00:00,Gardening,GD3100,3.0,1422
202,141783.0,9/97/8 00:00:00,Sports,SP1000,1.0,1423
203,141783.0,9/97/8 00:00:00,Sports,SP1300,1.0,1424
204,141783.0,9/97/8 00:00:00,Sports,SP2300,4.0,1425
205,149271.0,10/97/18 00:00:00,Toys,TY3800,1.0,1426
206,152304.0,11/97/3 00:00:00,Toys,TY3700,1.0,1427
207,156806.0,11/97/27 00:00:00,Sports,SP2200,1.0,1428
208,161595.0,12/97/22 00:00:00,Software,SW7221,4.0,1429
209,212564.0,8/98/22 00:00:00,Sports,SP1100,4.0,143
210,212564.0,8/98/22 00:00:00,Sports,SP1300,1.0,1430
211,212564.0,8/98/22 00:00:00,Sports,SP3100,1.0,1431
212,212564.0,8/98/22 00:00:00,Sports,SP3300,3.0,1432
213,213061.0,8/98/24 00:00:00,Sports,SP1000,4.0,1433
214,213061.0,8/98/24 00:00:00,Sports,SP3100,1.0,1434
215,99756.0,4/00/19 00:00:00,Pets,PT1100,3.0,1435
216,99756.0,4/00/19 00:00:00,Pets,PT3100,1.0,1436
217,99756.0,4/00/19 00:00:00,Pets,PT3500,3.0,1437
218,130740.0,10/00/19 00:00:00,Software,SW1828,1.0,1438
219,134932.0,11/00/10 00:00:00,Gardening,gd3100,3.0,1439
220,141783.0,12/00/16 00:00:00,Sports,SP1000,1.0,144
221,141783.0,12/00/16 00:00:00,Sports,SP1300,1.0,1440
222,141783.0,12/00/16 00:00:00,Sports,SP2300,4.0,1441
223,149271.0,1/01/25 00:00:00,Toys,TY3800,1.0,1442
224,152304.0,2/01/10 00:00:00,Toys,TY3700,1.0,1443
225,156806.0,3/01/6 00:00:00,Sports,SP2200,1.0,1444
226,161595.0,3/01/31 00:00:00,Software,SW7221,4.0,1445
227,126004.0,6/97/17 00:00:00,Toys,TY1950,1.0,1446
228,126004.0,6/97/17 00:00:00,Toys,TY4600,3.0,1447
229,126004.0,6/97/17 00:00:00,Toys,TY5300,1.0,1448
230,129631.0,7/97/6 00:00:00,Pets,PT4500,2.0,1449
231,142730.0,9/97/13 00:00:00,Gardening,GD2200,1.0,145
232,142730.0,9/97/13 00:00:00,Gardening,GD2400,1.0,1450
233,142730.0,9/97/13 00:00:00,Gardening,GD3200,1.0,1451
234,142730.0,9/97/13 00:00:00,Gardening,GD4100,1.0,1452
235,147805.0,10/97/10 00:00:00,Pets,PT3100,1.0,1453
236,147805.0,10/97/10 00:00:00,Pets,pt4100,1.0,1454
237,147805.0,10/97/10 00:00:00,Pets,PT4600,4.0,1455
238,147805.0,10/97/10 00:00:00,Pets,PT4600,1.0,1456
239,198963.0,6/98/25 00:00:00,Sports,SP2400,4.0,1457
240,229595.0,11/98/2 00:00:00,Pets,PT2100,1.0,1458
241,233338.0,11/98/18 00:00:00,Collectibles,CC4100,1.0,1459
242,237797.0,12/98/7 00:00:00,Pets,PT4100,2.0,146
243,126004.0,9/00/24 00:00:00,Toys,TY1950,1.0,1460
244,126004.0,9/00/24 00:00:00,Toys,TY4600,3.0,1461
245,126004.0,9/00/24 00:00:00,Toys,TY5300,1.0,1462
246,129631.0,10/00/13 00:00:00,Pets,PT4500,2.0,1463
247,147805.0,1/01/17 00:00:00,Pets,PT3100,1.0,1464
248,147805.0,1/01/17 00:00:00,Pets,PT4100,1.0,1465
249,147805.0,1/01/17 00:00:00,Pets,PT4600,4.0,1466
250,147805.0,1/01/17 00:00:00,Pets,PT4600,1.0,1467
251,116399.0,4/97/27 00:00:00,Gardening,GD3200,1.0,1468
252,152307.0,11/97/3 00:00:00,Toys,TY3400,4.0,1469
253,211399.0,8/98/17 00:00:00,Sports,SP2300,1.0,147
254,211635.0,8/98/18 00:00:00,Software,SW2181,4.0,1470
255,211635.0,8/98/18 00:00:00,Software,SW3545,1.0,1471
256,211635.0,8/98/18 00:00:00,Software,SW5952,4.0,1472
257,213064.0,8/98/24 00:00:00,Toys,TY2400,1.0,1473
258,231459.0,11/98/10 00:00:00,Sports,SP2600,1.0,1474
259,116399.0,8/00/4 00:00:00,Gardening,GD3200,1.0,1475
260,152307.0,2/01/10 00:00:00,Toys,TY3400,4.0,1476
261,113748.0,4/97/12 00:00:00,Pets,PT4300,1.0,1477
262,137757.0,8/97/18 00:00:00,Toys,TY4600,1.0,1478
263,147434.0,10/97/8 00:00:00,Pets,PT1400,4.0,1479
264,153927.0,11/97/12 00:00:00,Toys,TY4200,1.0,148
265,230993.0,11/98/8 00:00:00,Sports,SP1300,1.0,1480
266,230993.0,11/98/8 00:00:00,Sports,SP1400,3.0,1481
267,236105.0,11/98/30 00:00:00,Pets,PT1200,1.0,1482
268,241923.0,12/98/25 00:00:00,Software,SW7385,1.0,1483
269,113748.0,7/00/20 00:00:00,Pets,PT4300,1.0,1484
270,137757.0,11/00/25 00:00:00,Toys,TY4600,1.0,1485
271,147434.0,1/01/15 00:00:00,Pets,PT1400,4.0,1486
272,153927.0,2/01/19 00:00:00,Toys,TY4200,1.0,1487
273,105518.0,2/97/21 00:00:00,Pets,PT1300,4.0,1488
274,143136.0,9/97/15 00:00:00,Sports,SP1400,1.0,1489
275,143136.0,9/97/15 00:00:00,Sports,SP2500,2.0,149
276,143136.0,9/97/15 00:00:00,Sports,SP2600,3.0,1490
277,148359.0,10/97/13 00:00:00,Pets,PT2100,1.0,1491
278,150618.0,10/97/25 00:00:00,Gardening,GD1500,1.0,1492
279,150618.0,10/97/25 00:00:00,Gardening,GD3000,3.0,1493
280,150618.0,10/97/25 00:00:00,Gardening,GD3200,2.0,1494
281,168649.0,2/98/3 00:00:00,Gardening,GD1100,1.0,1495
282,187576.0,5/98/7 00:00:00,Toys,TY1200,3.0,1496
283,187576.0,5/98/7 00:00:00,Toys,TY1850,1.0,1497
284,187576.0,5/98/7 00:00:00,Toys,TY2300,4.0,1498
285,187576.0,5/98/7 00:00:00,Toys,TY3800,1.0,1499
286,209481.0,8/98/9 00:00:00,Pets,PT2200,1.0,15
287,209481.0,8/98/9 00:00:00,Pets,PT2300,1.0,150
288,209481.0,8/98/9 00:00:00,Pets,PT3200,1.0,1500
289,209481.0,8/98/9 00:00:00,Pets,PT3200,3.0,1501
290,218965.0,9/98/18 00:00:00,Gardening,GD2200,1.0,1502
291,223524.0,10/98/7 00:00:00,Gardening,GD4100,1.0,1503
292,225348.0,10/98/15 00:00:00,Toys,TY4200,1.0,1504
293,239627.0,12/98/15 00:00:00,Pets,PT4600,1.0,1505
294,105518.0,5/00/31 00:00:00,Pets,PT1300,4.0,1506
295,148359.0,1/01/20 00:00:00,Pets,PT2100,1.0,1507
296,110993.0,3/97/27 00:00:00,Sports,SP1200,1.0,1508
297,130222.0,7/97/9 00:00:00,Toys,TY4200,1.0,1509
298,158917.0,12/97/8 00:00:00,Collectibles,CC2200,3.0,151
299,163533.0,1/98/2 00:00:00,Sports,SP1000,1.0,1510
300,179408.0,3/98/31 00:00:00,Software,SW1005,3.0,1511
301,179408.0,3/98/31 00:00:00,Software,SW7013,1.0,1512
302,179408.0,3/98/31 00:00:00,Software,SW7573,1.0,1513
303,179408.0,3/98/31 00:00:00,Software,SW9604,1.0,1514
304,180934.0,4/98/7 00:00:00,Collectibles,CC1500,4.0,1515
305,182262.0,4/98/13 00:00:00,Gardening,GD1400,1.0,1516
306,198049.0,6/98/21 00:00:00,Sports,SP2000,3.0,1517
307,198049.0,6/98/21 00:00:00,Sports,SP2400,1.0,1518
308,198049.0,6/98/21 00:00:00,Sports,SP2500,1.0,1519
309,219453.0,9/98/20 00:00:00,Toys,TY17OO,1.0,152
310,230301.0,11/98/5 00:00:00,Toys,TY5200,1.0,1520
311,238030.0,12/98/8 00:00:00,Sports,SP2200,1.0,1521
312,241924.0,12/98/25 00:00:00,Sports,SP1300,2.0,1522
313,241924.0,12/98/25 00:00:00,Sports,SP3300,2.0,1523
314,241924.0,12/98/25 00:00:00,Sports,SP3400,1.0,1524
315,110993.0,7/00/4 00:00:00,Sports,SP1200,1.0,1525
316,130222.0,10/00/16 00:00:00,Toys,TY4200,1.0,1526
317,158917.0,3/01/17 00:00:00,Collectibles,CC220,3.0,1527
318,163533.0,4/01/11 00:00:00,Sports,SP1000,1.0,1528
319,122589.0,5/97/30 00:00:00,Pets,PT3100,3.0,1529
320,122777.0,5/97/31 00:00:00,Sports,SP1300,1.0,153
321,143138.0,9/97/15 00:00:00,Pets,PT4400,1.0,1530
322,166327.0,1/98/20 00:00:00,Pets,PT3200,2.0,1531
323,209214.0,8/98/8 00:00:00,Sports,SP3100,1.0,1532
324,221809.0,9/98/30 00:00:00,Toys,TY3400,1.0,1533
325,223296.0,10/98/6 00:00:00,Pets,PT3100,4.0,1534
326,122589.0,9/00/6 00:00:00,Pets,PT3100,3.0,1535
327,122777.0,9/00/7 00:00:00,Sports,SP1300,1.0,1536
328,143138.0,12/00/23 00:00:00,Pets,PT4400,1.0,1537
329,166327.0,4/01/29 00:00:00,Pets,PT3200,2.0,1538
330,102109.0,1/97/28 00:00:00,Pets,PT4300,1.0,1539
331,113750.0,4/97/12 00:00:00,Sports,SP2500,3.0,154
332,121462.0,5/97/24 00:00:00,Software,SW1207,1.0,1540
333,121462.0,5/97/24 00:00:00,Software,SW2147,1.0,1541
334,121462.0,5/97/24 00:00:00,Software,SW5493,1.0,1542
335,131671.0,7/97/17 00:00:00,Sports,SP1500,1.0,1543
336,131671.0,7/97/17 00:00:00,Sports,SP2000,2.0,1544
337,131671.0,7/97/17 00:00:00,Sports,SP2500,1.0,1545
338,131671.0,7/97/17 00:00:00,Sports,SP2700,1.0,1546
339,131869.0,7/97/18 00:00:00,Pets,PT4100,1.0,1547
340,132081.0,7/97/19 00:00:00,Gardening,GD2000,2.0,1548
341,132081.0,7/97/19 00:00:00,Gardening,GD2000,1.0,1549
342,132081.0,7/97/19 00:00:00,Gardening,GD3100,1.0,155
343,132081.0,7/97/19 00:00:00,Gardening,GD3400,2.0,1550
344,169362.0,2/98/7 00:00:00,Software,SW4187,1.0,1551
345,169362.0,2/98/7 00:00:00,Software,SW5952,4.0,1552
346,169362.0,2/98/7 00:00:00,Software,SW6269,1.0,1553
347,169362.0,2/98/7 00:00:00,Software,SW7935,1.0,1554
348,176756.0,3/98/18 00:00:00,Sports,SP2700,1.0,1555
349,177337.0,3/98/21 00:00:00,Sports,SP1000,1.0,1556
350,193092.0,5/98/31 00:00:00,Toys,TY3700,1.0,1557
351,197104.0,6/98/17 00:00:00,Pets,PT4200,1.0,1558
352,235407.0,11/98/27 00:00:00,Pets,PT3500,1.0,1559
353,102109.0,5/00/7 00:00:00,Pets,PT4300,1.0,156
354,121462.0,8/00/31 00:00:00,Software,SW1207,1.0,1560
355,121462.0,8/00/31 00:00:00,Software,SW2147,1.0,1561
356,121462.0,8/00/31 00:00:00,Software,SW5493,1.0,1562
357,131869.0,10/00/25 00:00:00,Pets,PT4100,1.0,1563
358,132081.0,10/00/26 00:00:00,Gardening,GD2000,2.0,1564
359,132081.0,10/00/26 00:00:00,Gardening,GD2000,1.0,1565
360,132081.0,10/00/26 00:00:00,Gardening,GD3100,1.0,1566
361,132081.0,10/00/26 00:00:00,Gardening,GD3400,2.0,1567
362,169362.0,5/01/17 00:00:00,Software,SW4187,1.0,1568
363,169362.0,5/01/17 00:00:00,Software,SW5952,4.0,1569
364,169362.0,5/01/17 00:00:00,Software,SW6269,1.0,157
365,169362.0,5/01/17 00:00:00,Software,SW7935,1.0,1570
366,99998.0,1/97/12 00:00:00,Toys,TY2600,1.0,1571
367,129834.0,7/97/7 00:00:00,Pets,PT1300,1.0,1572
368,129834.0,7/97/7 00:00:00,Pets,PT1400,4.0,1573
369,129834.0,7/97/7 00:00:00,Pets,PT2200,3.0,1574
370,130227.0,7/97/9 00:00:00,Pets,PT2400,1.0,1575
371,135894.0,8/97/8 00:00:00,Pets,PT4400,1.0,1576
372,148918.0,10/97/16 00:00:00,Sports,SP2600,2.0,1577
373,180063.0,4/98/3 00:00:00,Toys,TY3200,1.0,1578
374,182267.0,4/98/13 00:00:00,Gardening,GD4100,3.0,1579
375,184930.0,4/98/25 00:00:00,Toys,TY2500,4.0,158
376,197353.0,6/98/18 00:00:00,Pets,PT1100,1.0,1580
377,204316.0,7/98/18 00:00:00,Software,SW2147,3.0,1581
378,204316.0,7/98/18 00:00:00,Software,SW5338,1.0,1582
379,204316.0,7/98/18 00:00:00,Software,SW7385,1.0,1583
380,204316.0,7/98/18 00:00:00,Software,SW9521,3.0,1584
381,218730.0,9/98/17 00:00:00,Pets,PT1000,1.0,1585
382,218730.0,9/98/17 00:00:00,Pets,PT1400,1.0,1586
383,218730.0,9/98/17 00:00:00,Pets,PT2400,4.0,1587
384,218730.0,9/98/17 00:00:00,Pets,PT3300,1.0,1588
385,237332.0,12/98/5 00:00:00,Software,SW6352,1.0,1589
386,237332.0,12/98/5 00:00:00,Software,SW6531,4.0,159
387,237332.0,12/98/5 00:00:00,Software,SW7823,1.0,1590
388,99998.0,4/00/21 00:00:00,Toys,TY2600,1.0,1591
389,129834.0,10/00/14 00:00:00,Pets,PT1300,1.0,1592
390,129834.0,10/00/14 00:00:00,Pets,PT1400,4.0,1593
391,129834.0,10/00/14 00:00:00,Pets,PT2200,3.0,1594
392,130227.0,10/00/16 00:00:00,Pets,PT2400,1.0,1595
393,135894.0,11/00/15 00:00:00,Pets,PT4400,1.0,1596
394,148918.0,1/01/23 00:00:00,Sports,SP2600,2.0,1597
395,115478.0,4/97/22 00:00:00,Sports,SP1200,1.0,1598
396,159478.0,12/97/11 00:00:00,Sports,SP2300,1.0,1599
397,167813.0,1/98/29 00:00:00,Software,SW4792,2.0,16
398,187346.0,5/98/6 00:00:00,Sports,SP2700,1.0,160
